opp_id,agency_id,naics,value,incumbent_changed,incumbent_vendor_id,awardee_id,sow_ambiguity_score
1035,DHS,541512,4093802.234089584,0,15,3,0.2814468845688728
1036,GSA,541611,1624691.4968035098,0,34,27,0.27191573389682283
1037,NASA,541330,705629.4997625931,0,21,2,0.23012259283526437
1038,HHS,541512,1412215.141940162,1,9,6,1.0
1039,DOD,541511,2111530.073784506,0,24,29,0.5243777677963888
1040,DHS,541330,1541763.6801691067,1,6,5,0.6716897636011847
1041,NASA,541511,1163076.7459259392,0,1,15,0.32773063297026905
1042,NASA,541512,2168754.529547798,1,25,26,0.4035108307034878
1043,VA,541611,1229393.7183807604,0,21,29,0.27161150465741124
1044,DHS,541611,1120124.544131003,0,30,20,0.0
1045,GSA,541519,2266142.5475703184,1,14,5,0.10549768078803345
1046,VA,541511,1327098.5355164374,1,34,36,0.0
1047,GSA,541330,2154519.510584802,0,17,42,0.0
1048,NASA,541611,2202058.179533848,0,29,40,0.15116025642547432
1049,NASA,541511,763316.6640855187,0,4,33,0.7812389198454077
1050,NASA,541330,1250518.9174584034,0,4,18,0.43889095807391143
1051,HHS,541330,5274174.356269404,1,31,39,0.7726409405802935
1052,VA,541611,750459.0503801303,1,33,22,0.5527456442252189
1053,VA,541512,366776.9451099057,0,37,7,0.6456397064287898
1054,VA,541611,444016.11467469524,0,13,38,0.22477575117385623
1055,DHS,541611,1833674.5454780397,0,1,15,0.5809877385481677
1056,DOD,541512,1836161.7740792625,1,39,42,0.6321785585185865
1057,DHS,541519,1642601.5574203173,0,24,17,0.3058381769415768
1058,NASA,541330,4459924.393383433,1,10,39,0.5898850926540415
1059,NASA,541512,241681.0535125433,0,30,24,0.5915469396437083
1060,GSA,541519,2414373.5354899084,0,36,21,0.31261184471747927
1061,NASA,541512,5786734.213804249,0,12,14,0.16930789193225126
1062,VA,541519,770014.3471597002,1,31,37,0.15396791702543194
1063,GSA,541611,1349365.6028588803,0,31,3,0.47162638548036545
1064,VA,541512,1020018.2345174293,0,20,21,0.5317524671973287
1065,HHS,541330,917346.4293459047,1,25,17,0.25186854238552137
1066,GSA,541512,1404656.7097989265,0,11,24,0.45664633533152466
1067,VA,541611,5233621.075734573,1,37,12,0.5926342590346214
1068,DHS,541512,7117307.178727651,0,39,30,0.6045476786663252
1069,VA,541330,1394498.7382154274,0,39,17,0.8379700300306221
1070,NASA,541519,7487871.68230447,0,29,9,0.7692452080495109
1071,HHS,541330,1842589.2799345576,0,2,9,0.199677141810864
1072,VA,541611,6684274.726924742,0,15,31,0.8708965523845056
1073,DHS,541611,1672827.7447276856,0,18,12,0.31725587386107135
1074,NASA,541519,1979378.3120109288,0,38,14,0.711218203113607
1075,VA,541519,2359843.484043912,0,22,28,0.4669966565127722
1076,HHS,541330,19465228.140849218,0,21,15,0.3469626553857581
1077,HHS,541512,3397206.9990735673,0,6,18,0.0
1078,DOD,541519,1055527.9249580405,0,31,11,0.407108872445913
1079,NASA,541512,3710764.2204371793,0,14,16,0.06015419117359777
1080,GSA,541511,1367678.8586904982,0,4,31,0.6918248089606931
1081,VA,541330,1242563.774031547,0,39,24,0.8291981642848121
1082,DHS,541511,3546426.447398262,0,8,44,0.2507722526758275
1083,NASA,541519,1836393.5716400899,0,1,34,0.5254926856298178
1084,DOD,541611,2210947.9891456356,0,4,1,0.26865211949800616
1085,NASA,541511,1812991.708557133,0,18,17,0.2928788174658026
1086,DHS,541511,2309259.215078711,0,5,13,0.6436236759663428
1087,HHS,541611,2467520.65993925,0,33,26,0.4403654345391469
1088,NASA,541519,419691.33376681746,0,20,12,0.8849120104827529
1089,NASA,541519,2957720.7164715175,0,13,43,0.32944188032426974
1090,VA,541330,858966.7007896376,1,1,14,0.6998340831186223
1091,NASA,541330,608210.0926184243,0,19,23,0.4743533532394455
1092,GSA,541519,1717175.8765548065,1,6,6,0.6489445024360583
1093,VA,541519,1910710.561343712,0,39,41,0.33821058566751333
1094,GSA,541511,1066476.0676643094,1,12,41,0.4376102906121043
1095,HHS,541611,3345992.4136966597,0,19,35,0.42112528017526635
1096,HHS,541512,655640.975867447,0,1,16,0.24098572128855322
1097,NASA,541511,1322179.65749991,0,6,3,0.6155203836454382
1098,DOD,541330,1157003.9252731316,0,9,32,0.6125622513945911
1099,DHS,541611,1732471.4784325608,0,3,19,0.5983886737263917
1100,NASA,541512,2211426.2193873166,1,29,44,0.8342414134794112
1101,HHS,541519,842459.010485481,1,37,31,0.8123362003090759
1102,NASA,541330,3088549.150700038,1,39,24,0.3562638275377162
1103,DHS,541330,1880882.7571015735,0,11,44,0.5432630796085446
1104,NASA,541511,434104.38822117075,0,31,36,0.29409982768544685
1105,NASA,541611,412939.5196533397,1,20,21,0.45583882902863887
1106,NASA,541611,1777574.8159157706,0,2,1,0.30006263772028385
1107,DOD,541511,1520081.5028184433,1,4,5,0.8550175772840127
1108,VA,541511,1660177.2219067053,0,22,20,0.5409245375857408
1109,NASA,541511,1756815.1565147836,0,17,25,0.39549271797389446
1110,HHS,541330,2124760.9919376103,0,1,2,0.7484046429640943
1111,NASA,541519,3651823.5640512034,1,37,6,0.0
1112,DOD,541330,779705.3136846318,0,29,31,0.0
1113,VA,541330,744911.9521355985,0,20,34,0.6489596638049435
1114,DOD,541330,790172.9358171858,0,39,2,0.46511711202934203
1115,DOD,541512,2228161.804008663,0,38,23,0.5126115750651902
1116,DHS,541330,4564002.482911294,0,38,4,0.11840097417036283
1117,DHS,541512,1298208.0147725325,1,11,32,0.44419157228740846
1118,HHS,541611,274779.74181747076,0,35,37,0.9508773526003356
1119,DHS,541611,499821.01986048213,1,20,39,0.6560499049489658
1120,VA,541511,960512.6755257469,1,29,27,0.49242663628570305
1121,NASA,541512,1180800.710310743,0,34,28,0.34023652247376557
1122,DOD,541512,1320747.6418457644,0,7,41,0.35135678703265155
1123,VA,541330,1846746.2083393498,0,18,27,0.0
1124,GSA,541511,1420032.4080439366,0,6,20,0.5144101052302902
1125,DOD,541511,3941235.094481395,0,11,34,0.6613707771204635
1126,DHS,541330,1080556.7988504176,1,17,26,0.056095168207346224
1127,NASA,541512,939648.8591797055,1,34,38,0.284645776923296
1128,DOD,541330,2569332.393065579,1,34,24,0.16063384194164448
1129,DOD,541330,567087.2480794449,0,16,39,0.20866220129780913
1130,DOD,541611,2403096.7569920756,1,13,2,0.4633704067054751
1131,DOD,541512,1937511.3297291826,1,21,2,0.0
1132,DHS,541512,1606258.5210755824,0,36,5,0.603567609589266
1133,DOD,541511,5904392.24585676,0,39,25,0.6384637674834206
1134,NASA,541611,1125057.1766622583,0,9,32,0.3872243529907719
1135,HHS,541512,8412452.679466749,0,8,10,0.0
1136,DOD,541611,1515000.63047241,0,28,7,0.2008953434994026
1137,DHS,541512,688477.3274634556,0,12,38,0.7582254835256741
1138,VA,541611,1890665.9618643213,0,8,34,0.0
1139,VA,541512,800359.3551746146,1,2,29,0.3631191469516202
1140,GSA,541519,1020887.7135248417,1,16,22,0.15499980538318525
1141,HHS,541512,2416365.174526051,0,16,19,0.6511425753962091
1142,HHS,541512,2721480.4314816683,1,22,1,0.2812215119641347
1143,VA,541512,1125090.7137443589,1,8,9,0.5509885051839029
1144,GSA,541330,3762348.26423978,0,28,40,0.5913651047922732
1145,GSA,541512,4274299.633522426,0,27,15,0.9090564599325051
1146,DHS,541611,5268342.302461009,0,19,31,0.3992645140811575
1147,HHS,541611,2668588.0101508,0,8,31,0.5440110924056528
1148,NASA,541611,4988129.431710926,1,20,14,0.07873613021814102
1149,DHS,541519,437749.0933643766,0,27,9,0.7476033908234361
1150,GSA,541330,1413486.7589776127,0,15,31,0.25987278798215885
1151,HHS,541511,936351.3488775453,0,11,5,0.3098114589780636
1152,GSA,541330,1961891.0663843534,0,20,22,0.4444380512876973
1153,HHS,541511,1168712.280391537,1,14,40,0.059278913665037625
1154,VA,541330,1583869.748570553,0,16,32,0.5071925072322345
1155,DOD,541611,7360446.540682675,0,14,34,0.6918665682312527
1156,DHS,541519,1579644.1414173658,0,12,4,0.5232334558743229
1157,DOD,541330,2446928.78224622,0,28,9,0.05277560895531874
1158,DOD,541519,1507250.9739930592,0,18,13,0.4190476764175851
1159,NASA,541330,1898899.3104224075,0,19,13,0.6355072257448726
1160,GSA,541611,1802188.84719907,0,26,9,0.0
1161,DOD,541512,2511129.097193615,0,15,43,0.18130849654557152
1162,VA,541611,4299376.850442656,1,4,8,0.66913590102038
1163,VA,541512,6172074.099855476,0,34,32,0.5175238585493216
1164,VA,541330,2263029.7288103327,0,3,26,0.5529928955316885
1165,NASA,541511,2791696.86573835,1,23,27,0.914873701905828
1166,HHS,541511,756797.9728314386,1,11,10,0.5671381946265507
1167,HHS,541511,1679644.0319564599,0,9,14,0.6144720026082948
1168,VA,541519,3631720.6371568735,0,2,27,1.0
1169,DHS,541611,3434824.8028916335,0,36,14,0.39654886047737736
1170,DHS,541330,2102646.3995794686,0,17,31,0.25052930909537624
1171,DHS,541611,3487847.946273734,1,14,2,0.5569490995617832
1172,NASA,541511,2592349.153708587,0,29,4,0.5597477573472237
1173,NASA,541512,4413725.580862197,1,2,33,0.31832115201344796
1174,NASA,541512,2228901.3808564674,1,23,28,0.19190074511128813
1175,VA,541511,1373985.5889552946,0,20,2,1.0
1176,NASA,541330,2307974.6954336083,1,22,40,0.5317108675970057
1177,DHS,541611,199197.92713115978,0,5,1,0.2669286546494811
1178,GSA,541330,2390861.459547189,1,38,43,0.6789825755698997
1179,DOD,541512,116272.3288447137,0,10,33,0.4227137121096664
1180,GSA,541512,492575.21288198035,0,27,44,0.3867796384205422
1181,DHS,541330,2517624.737992181,0,30,42,0.5905682179786234
1182,VA,541512,2566739.5733407987,0,14,14,0.12702943294207752
1183,NASA,541512,750262.4929612406,0,6,34,0.5381568009792931
1184,VA,541611,1051705.2670137403,1,12,10,0.9282387019329381
1185,VA,541330,5014808.24050963,0,32,21,0.5665444155493277
1186,DHS,541519,1247905.8711643647,0,36,11,0.3559469740541339
1187,VA,541512,9647315.36702736,0,37,22,0.32322367989293954
1188,HHS,541330,1791493.361413051,0,9,39,0.34741500666372266
1189,HHS,541330,2436387.9026132766,0,24,20,0.38650933048805475
1190,NASA,541330,6032401.806132734,1,6,5,0.355548366810432
1191,DOD,541330,1979332.7227236086,0,28,15,0.6790778602686417
1192,DOD,541511,845972.4004561421,0,17,35,0.016697724197754227
1193,VA,541330,1652342.2937872743,0,28,23,0.6655000126030335
1194,GSA,541511,1746792.7460156227,0,27,25,0.3550783687143597
1195,DHS,541330,644637.718251541,0,39,19,0.544236946423843
1196,VA,541611,1480848.7283811094,1,20,13,0.16825302244978407
1197,DHS,541519,1028236.6774718716,0,14,27,0.782157766712359
1198,VA,541519,3588584.2303980105,1,21,28,0.7614087400429683
1199,GSA,541519,1841256.7369250588,0,7,40,0.6898976314375185
1200,VA,541519,1451202.6554028403,0,5,28,0.07131130605161518
1201,GSA,541519,1656741.9516648888,1,21,44,0.6572802677665133
1202,VA,541519,2120879.7008385053,1,33,37,0.5512137719089272
1203,NASA,541512,2849376.196217718,1,21,4,0.0486821882168581
1204,VA,541330,847643.8416517428,1,31,18,0.4439256540572961
1205,HHS,541611,821435.9740249268,1,7,17,0.5411336222583156
1206,NASA,541511,4108257.0107689556,1,18,1,0.5890188184557877
1207,GSA,541611,1316842.4502888103,0,24,8,0.4943153417372139
1208,HHS,541330,619934.0810937885,1,14,34,0.522807854211845
1209,NASA,541330,2502647.005836862,0,1,16,0.8184028480632739
1210,HHS,541330,2539625.92499408,0,3,7,0.75650847747767
1211,NASA,541611,569186.5737888551,1,37,13,0.0
1212,NASA,541519,2131019.9793202807,1,24,13,0.37064036129057953
1213,VA,541511,3114836.8066762504,1,11,8,0.4088372431140122
1214,NASA,541519,2375669.4722446552,0,11,5,0.011975356818257232
1215,HHS,541519,2881974.2271945933,1,2,34,0.47354576455807806
1216,DHS,541511,625807.5510829161,1,37,37,0.7621894431026266
1217,DHS,541511,2299679.0236988617,0,5,22,0.17835803510235243
1218,VA,541512,1429785.7708188444,0,30,28,0.5341002346724681
1219,GSA,541512,1249066.9380128037,0,10,41,0.22104413067589057
1220,DHS,541611,3446661.7334160376,1,14,38,0.2820219940800808
1221,VA,541611,5440904.552299336,0,11,2,0.8193484085425088
1222,NASA,541512,6891349.869161343,1,33,42,0.3143605449720438
1223,HHS,541611,4809510.662936026,0,2,3,0.5655531222526562
1224,NASA,541519,1652333.95369004,1,14,2,0.0
1225,HHS,541511,2337377.4764279104,0,11,18,0.91557939034872
1226,NASA,541511,3188678.590018934,1,11,33,0.6006631115766248
1227,DOD,541511,1964765.5083166298,0,8,4,0.40437503933743457
1228,DOD,541611,1978942.444291554,0,36,13,0.5938866274999737
1229,HHS,541511,3327776.2593717696,1,15,12,0.09754514276304743
1230,VA,541519,1716053.9801180763,1,17,18,0.7456326854381643
1231,GSA,541511,1038237.1633917823,1,16,44,0.36900380612589245
1232,DHS,541611,1314734.3666261968,0,39,15,0.39898262123789136
1233,NASA,541511,2886146.511463638,0,14,10,0.3270860962586289
1234,VA,541512,1798106.938126513,0,14,6,0.30483714931360384
1235,NASA,541519,2315549.269150377,0,13,9,0.6236676529071021
1236,DOD,541511,2965509.5530495797,1,13,6,0.5139767125260557
1237,VA,541511,1354399.7196740792,1,4,26,0.6129370353507599
1238,HHS,541519,3163489.102246168,1,24,19,0.44780132762860714
1239,DOD,541330,2383622.512585801,1,1,22,0.5782999527692952
1240,DHS,541519,710617.9231549806,1,9,37,0.3452878140187404
1241,DOD,541330,5292115.309558179,1,8,26,1.0
1242,DHS,541330,1232359.8200740796,0,12,7,0.05801739589237537
1243,DOD,541611,518491.2819932384,0,30,17,0.7652343308907461
1244,DOD,541519,819309.521698054,0,24,14,0.7919768626802427
1245,DHS,541511,834189.7133315682,1,39,37,0.23696029850860156
1246,NASA,541611,1865668.494624932,0,14,14,1.0
1247,VA,541611,1460971.4086668019,0,37,7,0.6988725707363296
1248,NASA,541330,1393565.3544047035,1,2,33,0.692784751705728
1249,DHS,541330,2855554.1322974237,0,20,19,0.4570055467564692
1250,HHS,541611,2314968.227750642,0,32,5,0.3956934604453309
1251,VA,541519,2273965.775853958,1,21,31,0.39764779324009797
1252,HHS,541511,2439665.122556417,1,37,10,0.5476326490798793
1253,HHS,541330,2847924.385144713,0,13,39,0.800296568758474
1254,DOD,541611,369178.29612907534,1,2,37,0.4953285544653549
1255,DHS,541611,1365008.6325609214,0,31,17,0.22213909421567743
1256,NASA,541519,349704.0315681642,1,3,25,0.6561067655962449
1257,DHS,541519,1843257.5006537794,0,30,25,0.6802876865986981
1258,HHS,541512,1787851.6667289045,0,29,29,0.6136648821119466
1259,DOD,541511,3929996.94343118,0,33,4,0.6363747266312456
1260,NASA,541512,4371976.680960852,0,19,15,0.382267967460548
1261,HHS,541519,2088760.291918083,1,35,8,0.21775270821735512
1262,HHS,541512,1232714.482353425,0,7,31,0.23295164233980506
1263,GSA,541511,2581473.2844721526,0,17,4,0.04113418788553552
1264,GSA,541611,1207498.9223041947,0,5,23,0.5092371528864874
1265,DOD,541519,1792201.8602780993,1,30,33,0.4291378041933516
1266,VA,541611,3758769.637398984,1,28,42,0.34000307386757284
1267,VA,541330,1180763.109644331,1,32,13,0.0
1268,DOD,541330,3282969.7405582163,0,30,1,0.13817063257645779
1269,DOD,541512,2981839.7284045536,0,13,32,0.7302101628507918
1270,HHS,541330,876687.7259135062,0,3,1,0.28384349998421726
1271,DHS,541519,3724415.9150154605,0,37,3,0.5401479194142104
1272,DHS,541519,3029550.325446353,1,20,44,0.10232864250618595
1273,GSA,541512,1936599.9987797996,1,4,38,0.8096763705898078
1274,VA,541519,1012828.4358805676,0,37,32,0.4139930849863309
1275,VA,541519,941844.5192570142,0,39,37,0.5225100991208838
1276,VA,541611,1198705.8414322187,1,18,4,1.0
1277,NASA,541512,2695099.946315618,0,31,4,0.8291100251473509
1278,DHS,541611,876139.9561476674,0,2,14,0.37335859467823557
1279,DHS,541330,2490849.030596485,0,4,2,0.3016949537824102
1280,HHS,541519,706927.4715034531,0,11,40,0.3686137471201171
1281,VA,541512,1539469.6957398287,0,26,3,0.577474562119134
1282,NASA,541330,1947848.1646666422,0,6,24,0.42369396643728224
1283,VA,541330,11227173.563500779,0,2,38,0.3511889637491321
1284,VA,541512,638587.0359748753,0,27,33,0.8167953126772606
1285,GSA,541330,5411359.563387447,0,31,11,0.4214475270555408
1286,DHS,541611,2007462.0298765586,0,29,21,1.0
1287,DOD,541611,2442124.5570426094,1,32,25,0.47268564093804327
1288,DOD,541611,1960599.6632304925,1,32,34,0.8963295985561819
1289,VA,541519,2504363.362882308,0,24,19,0.5393298556776567
1290,NASA,541330,1598755.6593504748,0,21,13,0.690740143312362
1291,HHS,541519,5338939.715613255,1,34,36,0.2688472371205689
1292,GSA,541330,1273967.5474510682,0,14,40,0.23656019435314707
1293,HHS,541330,4194043.7800961826,0,4,22,0.5649264887537468
1294,DOD,541512,1106513.5230252105,1,30,2,0.6971383106163288
1295,DOD,541511,1714807.0332547515,0,11,23,0.4600641255001157
1296,GSA,541519,802934.2312548123,1,39,40,0.12840166622907573
1297,VA,541611,2523778.62365518,0,17,44,0.10993540842766825
1298,HHS,541512,5303324.614920581,1,34,18,0.09321589945343972
1299,DHS,541512,1692949.5561558316,0,2,7,0.008094471765154765
1300,VA,541611,1547785.4509860794,0,26,26,0.4773713398617719
1301,NASA,541519,777654.2360471081,0,18,37,0.7312609804270063
1302,DHS,541512,1510619.6816967693,0,19,42,0.4466460532687978
1303,GSA,541512,543293.1396145128,1,11,3,0.0
1304,DOD,541512,904684.4700051876,0,38,13,0.4023098849163628
1305,DHS,541611,2126715.937699735,0,16,22,0.40930025084184823
1306,HHS,541512,4824703.780875924,1,34,5,0.9739996875563599
1307,DOD,541611,14752279.127351329,1,17,39,0.08571552177011094
1308,HHS,541611,1155520.1954280238,0,2,5,0.35233059935020106
1309,DHS,541611,5264386.2101421775,0,35,30,0.8764631701361411
1310,DOD,541519,2153950.9401990627,1,8,41,0.562494585336637
1311,NASA,541611,1601681.0068077738,1,11,31,0.5908282683791062
1312,DHS,541519,2481678.835207718,1,34,34,0.47864610925596957
1313,HHS,541519,1879351.5644057214,1,35,12,0.5324858846643161
1314,HHS,541330,1948941.17172509,1,36,37,0.644402382569634
1315,DOD,541519,1320802.5838729255,0,17,19,0.24762842027680843
1316,NASA,541611,628705.2061477591,0,30,3,0.6695146447270499
1317,NASA,541611,563702.0428743578,0,13,17,0.10674924577861522
1318,GSA,541511,2928303.088273939,1,29,16,0.5320919932078846
1319,NASA,541611,1457852.3716847755,1,20,23,0.49468524082158183
1320,HHS,541512,1147313.0924549685,0,3,12,0.29592672795197306
1321,DHS,541330,1805556.1525419517,0,17,21,0.4443286811685883
1322,DOD,541330,3256616.040013979,0,19,19,0.2943649618336117
1323,GSA,541512,2053945.133872271,1,11,15,0.18207466828456392
1324,GSA,541519,1096856.3663173395,0,15,31,0.3615963145965889
1325,HHS,541512,4500592.968047205,0,20,14,0.17400284115708464
1326,HHS,541519,5864273.296256483,0,2,34,0.530699366023312
1327,DHS,541512,2599728.284300072,0,6,12,0.16247862646190914
1328,DHS,541611,3723771.785857291,0,30,39,0.6279942557477629
1329,DOD,541519,4553788.116437959,0,14,17,0.154630233017795
1330,DOD,541519,4187332.638131508,0,24,2,0.3084262711047484
1331,VA,541611,2843580.0089850277,0,23,7,0.29384914794620526
1332,HHS,541330,2810183.3416103236,0,22,36,0.7812866822187097
1333,NASA,541519,2649139.5046640174,0,17,39,0.532572486404148
1334,VA,541511,787797.8056419124,0,19,10,0.39706654936390146
1335,NASA,541519,3034454.9179416522,1,33,27,0.5746798602674308
1336,GSA,541519,648968.5411162645,0,38,26,0.0
1337,HHS,541511,988605.2680669159,0,11,6,0.43921660258977313
1338,HHS,541519,4769126.874140179,0,27,20,0.9493785444511906
1339,GSA,541330,3369130.044669889,0,38,31,0.48308662660066815
1340,DOD,541330,5474156.277714029,0,1,43,0.4669782922923339
1341,HHS,541519,1463357.7944001586,0,31,38,0.587032094910549
1342,DOD,541519,756012.6357994465,1,20,5,0.6739013108285864
1343,DOD,541511,1498045.928092691,0,38,11,0.0
1344,GSA,541519,1936753.1073944622,0,23,20,0.0294183795522433
1345,HHS,541511,1903569.826324873,0,33,7,0.5025728227715367
1346,GSA,541611,4198594.393676846,0,7,26,0.2712808595256226
1347,GSA,541511,1368255.5718554386,0,6,1,0.7780063155549786
1348,HHS,541511,2336175.7460443336,1,37,5,0.371206402528694
1349,DHS,541512,854720.3666923203,1,21,3,0.0
1350,DOD,541330,2514885.8140896703,0,22,14,0.13299652078900076
1351,DHS,541512,1798262.380831354,0,7,34,0.0
1352,HHS,541512,1022376.1105547685,0,9,8,0.3914686156792719
1353,VA,541330,1503231.945274761,0,32,44,0.40290396818390417
1354,GSA,541611,1562610.206262742,1,12,12,0.34388432255452556
1355,GSA,541611,1465026.1542395344,0,23,2,0.7197197597574347
1356,DHS,541519,6773347.148876932,0,13,15,0.7496299591291734
1357,GSA,541511,1666382.2185073663,1,11,33,0.4074028941609722
1358,DHS,541512,1494164.7564858962,0,7,5,0.0
1359,NASA,541519,372097.71808799956,0,37,4,0.6043203951230647
1360,GSA,541512,917441.8572107644,1,37,38,0.5888400571271439
1361,GSA,541611,1472828.0169825912,0,5,27,0.5273478925392363
1362,HHS,541330,1072615.3676112795,0,14,16,0.695369937327029
1363,GSA,541330,5056983.387636786,0,22,34,0.15879297588474
1364,DHS,541511,1585319.731751888,1,15,38,0.9521888465462847
1365,DOD,541519,4715347.569317384,0,29,16,0.210143061714533
1366,VA,541519,1879052.9831771273,0,11,25,0.6373057318002137
1367,HHS,541611,1844872.7766172206,0,3,1,0.0281630763966621
1368,DHS,541512,1678485.8483129458,0,14,14,0.2174338281824873
1369,NASA,541511,1799190.120779785,0,24,27,0.829092161681334
1370,VA,541519,6511603.207425486,0,8,9,0.38477504424978753
1371,DOD,541330,314988.67189927364,0,32,44,0.6599806512831995
1372,VA,541512,399848.3749772973,0,1,43,0.5092388471798115
1373,VA,541519,1193763.974036727,1,3,12,0.42376046099995685
1374,GSA,541330,1813729.737392691,0,20,18,0.7909625812331724
1375,DHS,541330,3010384.3468988743,1,20,9,0.3908352938370249
1376,NASA,541611,2558202.4414786277,0,12,23,0.004815473109132384
1377,NASA,541512,1344880.2926898063,0,11,6,0.24918997701207374
1378,VA,541511,3852692.3360668374,1,3,18,0.5877979321754235
1379,HHS,541330,3885050.546434699,1,26,25,0.548877276590627
1380,DHS,541330,2059643.30622184,0,15,27,0.05823543744114046
1381,GSA,541519,3693160.5955556454,1,5,27,0.2689143701479497
1382,GSA,541512,2201135.557305408,0,16,10,0.30456966269943836
1383,HHS,541512,1177480.718642617,0,37,35,0.35863260147144377
1384,DHS,541611,3027847.803556533,1,11,31,0.10602160284961215
1385,DHS,541611,1949258.9680562734,0,35,34,0.2929072229701304
1386,DHS,541512,1795878.5176787127,1,11,21,0.26784737868511815
1387,NASA,541519,5415171.878753385,0,8,40,0.6428833149404798
1388,GSA,541611,285456.7772921659,1,11,18,0.652280327747561
1389,DHS,541512,619542.6802679631,0,13,36,0.413547385477796
1390,NASA,541512,736524.0584117227,0,5,9,0.3519900510323171
1391,HHS,541611,1366214.7455356182,0,23,11,0.48498107800977835
1392,VA,541519,1482208.6622631012,0,14,24,0.24585622313610628
1393,DOD,541330,579259.4545235948,0,29,25,0.16329197945813978
1394,NASA,541611,856947.1060386008,0,20,33,0.21494469776857078
1395,GSA,541511,940689.8246416788,0,18,14,0.29129670900713583
1396,DHS,541330,11331171.991089435,0,19,39,0.15913155005193225
1397,HHS,541611,6929557.115387428,0,7,15,0.4905148897657187
1398,HHS,541511,1317422.7669077741,1,28,24,0.6324289184459271
1399,HHS,541611,1365884.1860823184,1,5,42,0.05322542480043957
