opp_id,title,posted_date,due_date,sow_text
1076,Opportunity 1076,2023-01-16,2023-05-02,Requirements include complex integrations of legacy platforms with modern cloud services.
1077,Opportunity 1077,2023-01-21,2023-04-13,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1078,Opportunity 1078,2023-01-26,2023-05-04,Requirements include complex integrations of legacy platforms with modern cloud services.
1079,Opportunity 1079,2023-01-31,2023-04-23,Multi-vendor environment with significant transition risk from incumbent service provider.
1080,Opportunity 1080,2023-02-05,2023-04-07,Requirements include complex integrations of legacy platforms with modern cloud services.
1081,Opportunity 1081,2023-02-10,2023-05-10,Multi-vendor environment with significant transition risk from incumbent service provider.
1082,Opportunity 1082,2023-02-15,2023-05-11,Requirements include complex integrations of legacy platforms with modern cloud services.
1083,Opportunity 1083,2023-02-20,2023-05-25,Scope is clearly defined with firm metrics and acceptance criteria.
1084,Opportunity 1084,2023-02-25,2023-04-13,Requirements include complex integrations of legacy platforms with modern cloud services.
1085,Opportunity 1085,2023-03-02,2023-05-28,Multi-vendor environment with significant transition risk from incumbent service provider.
1086,Opportunity 1086,2023-03-07,2023-05-01,Scope is clearly defined with firm metrics and acceptance criteria.
1087,Opportunity 1087,2023-03-12,2023-06-21,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1088,Opportunity 1088,2023-03-17,2023-06-26,Requirements include complex integrations of legacy platforms with modern cloud services.
1089,Opportunity 1089,2023-03-22,2023-06-16,Scope is clearly defined with firm metrics and acceptance criteria.
1090,Opportunity 1090,2023-03-27,2023-07-20,Multi-vendor environment with significant transition risk from incumbent service provider.
1091,Opportunity 1091,2023-04-01,2023-06-18,Multi-vendor environment with significant transition risk from incumbent service provider.
1092,Opportunity 1092,2023-04-06,2023-05-08,Requirements include complex integrations of legacy platforms with modern cloud services.
1093,Opportunity 1093,2023-04-11,2023-07-04,Scope is clearly defined with firm metrics and acceptance criteria.
1094,Opportunity 1094,2023-04-16,2023-07-24,Scope is clearly defined with firm metrics and acceptance criteria.
1095,Opportunity 1095,2023-04-21,2023-05-30,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1096,Opportunity 1096,2023-04-26,2023-06-04,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1097,Opportunity 1097,2023-05-01,2023-06-24,Requirements include complex integrations of legacy platforms with modern cloud services.
1098,Opportunity 1098,2023-05-06,2023-08-19,Multi-vendor environment with significant transition risk from incumbent service provider.
1099,Opportunity 1099,2023-05-11,2023-07-27,Requirements include complex integrations of legacy platforms with modern cloud services.
1100,Opportunity 1100,2023-05-16,2023-09-10,Scope is clearly defined with firm metrics and acceptance criteria.
1101,Opportunity 1101,2023-05-21,2023-09-06,Multi-vendor environment with significant transition risk from incumbent service provider.
1102,Opportunity 1102,2023-05-26,2023-08-13,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1103,Opportunity 1103,2023-05-31,2023-08-30,Scope is clearly defined with firm metrics and acceptance criteria.
1104,Opportunity 1104,2023-06-05,2023-08-03,Multi-vendor environment with significant transition risk from incumbent service provider.
1105,Opportunity 1105,2023-06-10,2023-07-18,Scope is clearly defined with firm metrics and acceptance criteria.
1106,Opportunity 1106,2023-06-15,2023-08-19,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1107,Opportunity 1107,2023-06-20,2023-09-11,Requirements include complex integrations of legacy platforms with modern cloud services.
1108,Opportunity 1108,2023-06-25,2023-08-10,Requirements include complex integrations of legacy platforms with modern cloud services.
1109,Opportunity 1109,2023-06-30,2023-08-18,Scope is clearly defined with firm metrics and acceptance criteria.
1110,Opportunity 1110,2023-07-05,2023-08-05,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1111,Opportunity 1111,2023-07-10,2023-10-14,Multi-vendor environment with significant transition risk from incumbent service provider.
1112,Opportunity 1112,2023-07-15,2023-11-02,Scope is clearly defined with firm metrics and acceptance criteria.
1113,Opportunity 1113,2023-07-20,2023-11-01,Multi-vendor environment with significant transition risk from incumbent service provider.
1114,Opportunity 1114,2023-07-25,2023-09-27,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1115,Opportunity 1115,2023-07-30,2023-10-21,Requirements include complex integrations of legacy platforms with modern cloud services.
1116,Opportunity 1116,2023-08-04,2023-11-28,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1117,Opportunity 1117,2023-08-09,2023-10-31,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1118,Opportunity 1118,2023-08-14,2023-10-09,Scope is clearly defined with firm metrics and acceptance criteria.
1119,Opportunity 1119,2023-08-19,2023-10-18,Scope is clearly defined with firm metrics and acceptance criteria.
1120,Opportunity 1120,2023-08-24,2023-11-27,Scope is clearly defined with firm metrics and acceptance criteria.
1121,Opportunity 1121,2023-08-29,2023-11-07,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1122,Opportunity 1122,2023-09-03,2023-12-17,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1123,Opportunity 1123,2023-09-08,2023-12-24,Scope is clearly defined with firm metrics and acceptance criteria.
1124,Opportunity 1124,2023-09-13,2023-10-16,Scope is clearly defined with firm metrics and acceptance criteria.
1125,Opportunity 1125,2023-09-18,2023-12-22,Scope is clearly defined with firm metrics and acceptance criteria.
1126,Opportunity 1126,2023-09-23,2023-11-25,Scope is clearly defined with firm metrics and acceptance criteria.
1127,Opportunity 1127,2023-09-28,2023-12-13,Scope is clearly defined with firm metrics and acceptance criteria.
1128,Opportunity 1128,2023-10-03,2023-11-25,Scope is clearly defined with firm metrics and acceptance criteria.
1129,Opportunity 1129,2023-10-08,2023-12-10,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1130,Opportunity 1130,2023-10-13,2023-12-11,Requirements include complex integrations of legacy platforms with modern cloud services.
1131,Opportunity 1131,2023-10-18,2023-11-21,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1132,Opportunity 1132,2023-10-23,2024-01-31,Requirements include complex integrations of legacy platforms with modern cloud services.
1133,Opportunity 1133,2023-10-28,2023-12-09,Scope is clearly defined with firm metrics and acceptance criteria.
1134,Opportunity 1134,2023-11-02,2024-01-04,Multi-vendor environment with significant transition risk from incumbent service provider.
1135,Opportunity 1135,2023-11-07,2023-12-24,Multi-vendor environment with significant transition risk from incumbent service provider.
1136,Opportunity 1136,2023-11-12,2023-12-26,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1137,Opportunity 1137,2023-11-17,2024-01-19,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1138,Opportunity 1138,2023-11-22,2024-03-13,Requirements include complex integrations of legacy platforms with modern cloud services.
1139,Opportunity 1139,2023-11-27,2024-03-20,Scope is clearly defined with firm metrics and acceptance criteria.
1140,Opportunity 1140,2023-12-02,2024-02-04,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1141,Opportunity 1141,2023-12-07,2024-02-20,Multi-vendor environment with significant transition risk from incumbent service provider.
1142,Opportunity 1142,2023-12-12,2024-04-08,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1143,Opportunity 1143,2023-12-17,2024-02-06,Multi-vendor environment with significant transition risk from incumbent service provider.
1144,Opportunity 1144,2023-12-22,2024-04-15,Scope is clearly defined with firm metrics and acceptance criteria.
1145,Opportunity 1145,2023-12-27,2024-02-04,Requirements include complex integrations of legacy platforms with modern cloud services.
1146,Opportunity 1146,2024-01-01,2024-02-20,Requirements include complex integrations of legacy platforms with modern cloud services.
1147,Opportunity 1147,2024-01-06,2024-03-06,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1148,Opportunity 1148,2024-01-11,2024-02-13,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1149,Opportunity 1149,2024-01-16,2024-04-28,Scope is clearly defined with firm metrics and acceptance criteria.
1150,Opportunity 1150,2024-01-21,2024-05-06,Multi-vendor environment with significant transition risk from incumbent service provider.
1151,Opportunity 1151,2024-01-26,2024-03-30,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1152,Opportunity 1152,2024-01-31,2024-05-15,Scope is clearly defined with firm metrics and acceptance criteria.
1153,Opportunity 1153,2024-02-05,2024-05-14,Requirements include complex integrations of legacy platforms with modern cloud services.
1154,Opportunity 1154,2024-02-10,2024-05-22,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1155,Opportunity 1155,2024-02-15,2024-05-27,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1156,Opportunity 1156,2024-02-20,2024-05-11,Requirements include complex integrations of legacy platforms with modern cloud services.
1157,Opportunity 1157,2024-02-25,2024-04-04,Scope is clearly defined with firm metrics and acceptance criteria.
1158,Opportunity 1158,2024-03-01,2024-06-22,Scope is clearly defined with firm metrics and acceptance criteria.
1159,Opportunity 1159,2024-03-06,2024-05-29,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1160,Opportunity 1160,2024-03-11,2024-06-30,Requirements include complex integrations of legacy platforms with modern cloud services.
1161,Opportunity 1161,2024-03-16,2024-07-10,Multi-vendor environment with significant transition risk from incumbent service provider.
1162,Opportunity 1162,2024-03-21,2024-05-06,Scope is clearly defined with firm metrics and acceptance criteria.
1163,Opportunity 1163,2024-03-26,2024-05-31,Scope is clearly defined with firm metrics and acceptance criteria.
1164,Opportunity 1164,2024-03-31,2024-05-17,Requirements include complex integrations of legacy platforms with modern cloud services.
1165,Opportunity 1165,2024-04-05,2024-05-09,Multi-vendor environment with significant transition risk from incumbent service provider.
1166,Opportunity 1166,2024-04-10,2024-08-04,Requirements include complex integrations of legacy platforms with modern cloud services.
1167,Opportunity 1167,2024-04-15,2024-08-06,Multi-vendor environment with significant transition risk from incumbent service provider.
1168,Opportunity 1168,2024-04-20,2024-08-11,Scope is clearly defined with firm metrics and acceptance criteria.
1169,Opportunity 1169,2024-04-25,2024-08-12,Multi-vendor environment with significant transition risk from incumbent service provider.
1170,Opportunity 1170,2024-04-30,2024-07-27,Requirements include complex integrations of legacy platforms with modern cloud services.
1171,Opportunity 1171,2024-05-05,2024-07-20,Requirements include complex integrations of legacy platforms with modern cloud services.
1172,Opportunity 1172,2024-05-10,2024-09-06,Multi-vendor environment with significant transition risk from incumbent service provider.
1173,Opportunity 1173,2024-05-15,2024-08-02,Multi-vendor environment with significant transition risk from incumbent service provider.
1174,Opportunity 1174,2024-05-20,2024-08-15,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1175,Opportunity 1175,2024-05-25,2024-07-13,Requirements include complex integrations of legacy platforms with modern cloud services.
1176,Opportunity 1176,2024-05-30,2024-09-04,Multi-vendor environment with significant transition risk from incumbent service provider.
1177,Opportunity 1177,2024-06-04,2024-09-15,Scope is clearly defined with firm metrics and acceptance criteria.
1178,Opportunity 1178,2024-06-09,2024-09-08,Multi-vendor environment with significant transition risk from incumbent service provider.
1179,Opportunity 1179,2024-06-14,2024-08-27,Multi-vendor environment with significant transition risk from incumbent service provider.
1180,Opportunity 1180,2024-06-19,2024-08-05,Multi-vendor environment with significant transition risk from incumbent service provider.
1181,Opportunity 1181,2024-06-24,2024-07-27,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1182,Opportunity 1182,2024-06-29,2024-09-23,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1183,Opportunity 1183,2024-07-04,2024-10-03,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1184,Opportunity 1184,2024-07-09,2024-10-16,Requirements include complex integrations of legacy platforms with modern cloud services.
1185,Opportunity 1185,2024-07-14,2024-11-06,Scope is clearly defined with firm metrics and acceptance criteria.
1186,Opportunity 1186,2024-07-19,2024-10-01,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1187,Opportunity 1187,2024-07-24,2024-11-05,Multi-vendor environment with significant transition risk from incumbent service provider.
1188,Opportunity 1188,2024-07-29,2024-10-31,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1189,Opportunity 1189,2024-08-03,2024-09-26,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1190,Opportunity 1190,2024-08-08,2024-11-22,Requirements include complex integrations of legacy platforms with modern cloud services.
1191,Opportunity 1191,2024-08-13,2024-09-16,Scope is clearly defined with firm metrics and acceptance criteria.
1192,Opportunity 1192,2024-08-18,2024-11-09,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1193,Opportunity 1193,2024-08-23,2024-12-15,Multi-vendor environment with significant transition risk from incumbent service provider.
1194,Opportunity 1194,2024-08-28,2024-11-25,Scope is clearly defined with firm metrics and acceptance criteria.
1195,Opportunity 1195,2024-09-02,2024-12-25,Requirements include complex integrations of legacy platforms with modern cloud services.
1196,Opportunity 1196,2024-09-07,2024-10-12,Scope is clearly defined with firm metrics and acceptance criteria.
1197,Opportunity 1197,2024-09-12,2024-11-28,Requirements include complex integrations of legacy platforms with modern cloud services.
1198,Opportunity 1198,2024-09-17,2024-12-26,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1199,Opportunity 1199,2024-09-22,2024-12-18,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1200,Opportunity 1200,2024-09-27,2025-01-14,Multi-vendor environment with significant transition risk from incumbent service provider.
1201,Opportunity 1201,2024-10-02,2024-12-12,Multi-vendor environment with significant transition risk from incumbent service provider.
1202,Opportunity 1202,2024-10-07,2025-01-06,Requirements include complex integrations of legacy platforms with modern cloud services.
1203,Opportunity 1203,2024-10-12,2024-12-18,Requirements include complex integrations of legacy platforms with modern cloud services.
1204,Opportunity 1204,2024-10-17,2025-02-02,Scope is clearly defined with firm metrics and acceptance criteria.
1205,Opportunity 1205,2024-10-22,2024-12-01,Requirements include complex integrations of legacy platforms with modern cloud services.
1206,Opportunity 1206,2024-10-27,2024-12-18,Multi-vendor environment with significant transition risk from incumbent service provider.
1207,Opportunity 1207,2024-11-01,2024-12-09,Requirements include complex integrations of legacy platforms with modern cloud services.
1208,Opportunity 1208,2024-11-06,2025-02-07,Requirements include complex integrations of legacy platforms with modern cloud services.
1209,Opportunity 1209,2024-11-11,2024-12-31,Multi-vendor environment with significant transition risk from incumbent service provider.
1210,Opportunity 1210,2024-11-16,2025-01-13,Multi-vendor environment with significant transition risk from incumbent service provider.
1211,Opportunity 1211,2024-11-21,2025-03-06,Requirements include complex integrations of legacy platforms with modern cloud services.
1212,Opportunity 1212,2024-11-26,2025-01-27,Scope is clearly defined with firm metrics and acceptance criteria.
1213,Opportunity 1213,2024-12-01,2025-01-13,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1214,Opportunity 1214,2024-12-06,2025-01-06,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1215,Opportunity 1215,2024-12-11,2025-01-30,Multi-vendor environment with significant transition risk from incumbent service provider.
1216,Opportunity 1216,2024-12-16,2025-04-07,Scope is clearly defined with firm metrics and acceptance criteria.
1217,Opportunity 1217,2024-12-21,2025-03-10,Requirements include complex integrations of legacy platforms with modern cloud services.
1218,Opportunity 1218,2024-12-26,2025-04-24,Scope is clearly defined with firm metrics and acceptance criteria.
1219,Opportunity 1219,2024-12-31,2025-02-18,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1220,Opportunity 1220,2025-01-05,2025-03-07,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1221,Opportunity 1221,2025-01-10,2025-02-23,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1222,Opportunity 1222,2025-01-15,2025-03-21,Multi-vendor environment with significant transition risk from incumbent service provider.
1223,Opportunity 1223,2025-01-20,2025-04-10,Multi-vendor environment with significant transition risk from incumbent service provider.
1224,Opportunity 1224,2025-01-25,2025-05-07,Scope is clearly defined with firm metrics and acceptance criteria.
1225,Opportunity 1225,2025-01-30,2025-04-03,Scope is clearly defined with firm metrics and acceptance criteria.
1226,Opportunity 1226,2025-02-04,2025-05-14,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1227,Opportunity 1227,2025-02-09,2025-05-06,Scope is clearly defined with firm metrics and acceptance criteria.
1228,Opportunity 1228,2025-02-14,2025-04-11,Scope is clearly defined with firm metrics and acceptance criteria.
1229,Opportunity 1229,2025-02-19,2025-06-11,Requirements include complex integrations of legacy platforms with modern cloud services.
1230,Opportunity 1230,2025-02-24,2025-05-04,Scope is clearly defined with firm metrics and acceptance criteria.
1231,Opportunity 1231,2025-03-01,2025-04-13,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1232,Opportunity 1232,2025-03-06,2025-06-30,Multi-vendor environment with significant transition risk from incumbent service provider.
1233,Opportunity 1233,2025-03-11,2025-07-01,Multi-vendor environment with significant transition risk from incumbent service provider.
1234,Opportunity 1234,2025-03-16,2025-04-19,Scope is clearly defined with firm metrics and acceptance criteria.
1235,Opportunity 1235,2025-03-21,2025-07-10,Requirements include complex integrations of legacy platforms with modern cloud services.
1236,Opportunity 1236,2025-03-26,2025-07-19,Requirements include complex integrations of legacy platforms with modern cloud services.
1237,Opportunity 1237,2025-03-31,2025-07-13,Scope is clearly defined with firm metrics and acceptance criteria.
1238,Opportunity 1238,2025-04-05,2025-05-27,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1239,Opportunity 1239,2025-04-10,2025-07-05,Multi-vendor environment with significant transition risk from incumbent service provider.
1240,Opportunity 1240,2025-04-15,2025-07-02,Multi-vendor environment with significant transition risk from incumbent service provider.
1241,Opportunity 1241,2025-04-20,2025-07-14,Requirements include complex integrations of legacy platforms with modern cloud services.
1242,Opportunity 1242,2025-04-25,2025-07-19,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1243,Opportunity 1243,2025-04-30,2025-07-26,Scope is clearly defined with firm metrics and acceptance criteria.
1244,Opportunity 1244,2025-05-05,2025-07-20,Requirements include complex integrations of legacy platforms with modern cloud services.
1245,Opportunity 1245,2025-05-10,2025-08-10,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1246,Opportunity 1246,2025-05-15,2025-07-31,Requirements include complex integrations of legacy platforms with modern cloud services.
1247,Opportunity 1247,2025-05-20,2025-06-20,Scope is clearly defined with firm metrics and acceptance criteria.
1248,Opportunity 1248,2025-05-25,2025-06-27,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1249,Opportunity 1249,2025-05-30,2025-09-23,Scope is clearly defined with firm metrics and acceptance criteria.
1250,Opportunity 1250,2025-06-04,2025-09-23,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1251,Opportunity 1251,2025-06-09,2025-08-30,Scope is clearly defined with firm metrics and acceptance criteria.
1252,Opportunity 1252,2025-06-14,2025-07-29,Multi-vendor environment with significant transition risk from incumbent service provider.
1253,Opportunity 1253,2025-06-19,2025-09-27,Requirements include complex integrations of legacy platforms with modern cloud services.
1254,Opportunity 1254,2025-06-24,2025-08-05,Requirements include complex integrations of legacy platforms with modern cloud services.
1255,Opportunity 1255,2025-06-29,2025-08-31,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1256,Opportunity 1256,2025-07-04,2025-09-01,Scope is clearly defined with firm metrics and acceptance criteria.
1257,Opportunity 1257,2025-07-09,2025-08-09,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1258,Opportunity 1258,2025-07-14,2025-10-24,Requirements include complex integrations of legacy platforms with modern cloud services.
1259,Opportunity 1259,2025-07-19,2025-10-02,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1260,Opportunity 1260,2025-07-24,2025-09-20,Multi-vendor environment with significant transition risk from incumbent service provider.
1261,Opportunity 1261,2025-07-29,2025-10-12,Requirements include complex integrations of legacy platforms with modern cloud services.
1262,Opportunity 1262,2025-08-03,2025-09-02,Scope is clearly defined with firm metrics and acceptance criteria.
1263,Opportunity 1263,2025-08-08,2025-10-16,Multi-vendor environment with significant transition risk from incumbent service provider.
